2025-03-13 09:33:08.782 +05:30 [WRN] Overriding address(es) 'http://*:7001'. Binding to endpoints defined via IConfiguration and/or UseKestrel() instead.
2025-03-13 09:33:17.689 +05:30 [WRN] Failed to determine the https port for redirect.
2025-03-13 09:33:20.125 +05:30 [INF] HTTP GET /api/Employee responded 200 in 2429.7213 ms
2025-03-13 09:33:33.874 +05:30 [INF] HTTP GET /api/Employee responded 200 in 43.9064 ms
2025-03-13 09:33:44.130 +05:30 [INF] HTTP GET /api/Employee responded 200 in 95.3604 ms
2025-03-13 09:33:49.994 +05:30 [INF] HTTP GET /api/Employee responded 200 in 21.8940 ms
2025-03-13 09:33:56.161 +05:30 [INF] HTTP GET /api/Employee responded 200 in 5.7127 ms
2025-03-13 09:35:46.125 +05:30 [WRN] Overriding address(es) 'http://*:7001'. Binding to endpoints defined via IConfiguration and/or UseKestrel() instead.
2025-03-13 09:35:52.893 +05:30 [WRN] Failed to determine the https port for redirect.
2025-03-13 09:35:54.792 +05:30 [INF] HTTP GET /api/Employee responded 200 in 1893.0703 ms
2025-03-13 09:46:34.511 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 57.6672 ms
2025-03-13 09:46:59.166 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 123.3473 ms
2025-03-13 09:46:59.823 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 99.0144 ms
2025-03-13 09:47:07.466 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 10.4219 ms
2025-03-13 09:47:07.490 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 4.6770 ms
2025-03-13 09:47:09.177 +05:30 [INF] HTTP GET /api/Employee/getEmployee/{} responded 400 in 67.5070 ms
2025-03-13 09:47:09.276 +05:30 [INF] HTTP GET /api/Employee/getEmployee/{} responded 400 in 1.3014 ms
2025-03-13 09:47:38.864 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 21.0694 ms
2025-03-13 09:47:38.949 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 9.8590 ms
2025-03-13 09:47:47.488 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 10.6607 ms
2025-03-13 09:47:47.717 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 12.7841 ms
2025-03-13 09:48:01.831 +05:30 [INF] HTTP POST /api/auth/Login responded 200 in 299.6166 ms
2025-03-13 09:48:01.904 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 23.6313 ms
2025-03-13 09:48:05.094 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 24.7221 ms
2025-03-13 09:48:06.115 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 40.3959 ms
2025-03-13 09:48:51.177 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 29.8267 ms
2025-03-13 09:48:51.298 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 4.3170 ms
2025-03-13 09:49:41.632 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 21.4132 ms
2025-03-13 09:49:41.744 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 3.9484 ms
2025-03-13 09:50:35.791 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 43.8056 ms
2025-03-13 09:50:35.837 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 8.6671 ms
2025-03-13 09:50:47.810 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 10.2454 ms
2025-03-13 09:50:47.979 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 8.4853 ms
2025-03-13 09:51:11.958 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 14.3394 ms
2025-03-13 09:51:12.018 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 11.9489 ms
2025-03-13 09:51:27.792 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 14.6078 ms
2025-03-13 09:51:28.119 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 13.2183 ms
2025-03-13 09:51:43.171 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 8.1839 ms
2025-03-13 09:51:43.207 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 5.8683 ms
2025-03-13 09:52:02.046 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 10.1246 ms
2025-03-13 09:52:02.234 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 20.8980 ms
2025-03-13 09:52:10.922 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 17.5262 ms
2025-03-13 09:52:27.414 +05:30 [INF] HTTP GET /api/Employee/getEmployee/1 responded 200 in 53.3750 ms
